description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"EVERYTHING IS IN ITS PROPER PLACE… EXCEPT THE PAST.
Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.",4.0,50K,84K,24K,1.1K FANS,Robert Redford,ordinary-people-1980
"SHE BECAME A SINGER BECAUSE IT WAS THE ONLY THING SHE COULD DO. SHE BECAME A STAR BECAUSE IT WAS THE ONLY WAY SHE COULD DO IT.
Biography of Loretta Lynn, a country and western singer that came from poverty to fame.",3.7,14K,24K,5.5K,115 FANS,Michael Apted,coal-miners-daughter-1980
"A TRUE STORY OF COURAGE AND HUMAN DIGNITY.
A Victorian surgeon rescues a heavily disfigured man being mistreated by his “owner” as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",4.3,149K,516K,172K,8K FANS,David Lynch,the-elephant-man-1980
"I DON’T GO DOWN FOR NOBODY.
The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",4.2,221K,689K,214K,7.1K FANS,Martin Scorsese,raging-bull-1980
"SHE WAS BORN INTO A WORLD WHERE THEY CALLED IT SEDUCTION, NOT RAPE. WHAT SHE DID WOULD SHATTER THAT WORLD FOREVER.
A strong-willed peasant girl is sent by her father to the estate of some local aristocrats to capitalize on a rumor that their families are from the same line, but is left traumatised from her experiences.",3.8,19K,26K,6K,140 FANS,Roman Polanski,tess-1980
"THIS IS THE STORY OF TWO MEN WHO RUN, NOT TO RUN, BUT TO PROVE SOMETHING TO THE WORLD. THEY WILL SACRIFICE ANYTHING TO ACHIEVE THEIR GOALS… EXCEPT THEIR HONOR.
In the class-obsessed and religiously divided UK of the early 1920s, two determined young runners train for the 1924 Paris Olympics. Eric Liddell, a devout Christian born to Scottish missionaries in China, sees running as part of his worship of God’s glory and refuses to train or compete on the Sabbath. Harold Abrahams overcomes anti-Semitism and class bias, but neglects his beloved sweetheart in his single-minded quest.",3.4,36K,71K,9.5K,277 FANS,Hugh Hudson,chariots-of-fire-1981
"WHERE DREAMERS CAN BE WINNERS.
In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.",3.7,19K,23K,4.9K,16 FANS,Louis Malle,atlantic-city-1981
"WHEN LIFE IS AT ITS FINEST… WHEN LOVE IS AT ITS FULLEST…
For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years.",3.7,18K,35K,7.3K,131 FANS,Mark Rydell,on-golden-pond-1981
"THE RETURN OF THE GREAT ADVENTURE.
When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",4.2,295K,1.9M,553K,20K FANS,Steven Spielberg,raiders-of-the-lost-ark-1981
"NOT SINCE GONE WITH THE WIND HAS THERE BEEN A GREAT ROMANTIC EPIC LIKE IT!
An account of the revolutionary years of the legendary American journalist John Reed, who shared his adventurous professional life with his radical commitment to the socialist revolution in Russia, his dream of spreading its principles among the members of the American working class, and his troubled romantic relationship with the writer Louise Bryant.",3.9,29K,35K,8.9K,393 FANS,Warren Beatty,reds-1981
"HIS TRIUMPH CHANGED THE WORLD FOREVER.
In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of ‘passive resistance’, endeavouring to win freedom for his people without resorting to bloodshed.",3.7,44K,142K,18K,142 FANS,Richard Attenborough,gandhi-1982
"HE IS AFRAID. HE IS TOTALLY ALONE. HE IS 3,000,000 LIGHT YEARS FROM HOME.
An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",3.8,236K,2.2M,462K,8.6K FANS,Steven Spielberg,et-the-extra-terrestrial-1982
"CHARLIE HORMAN THOUGHT THAT BEING AN AMERICAN WOULD GUARANTEE HIS SAFETY. HIS FAMILY BELIEVED THAT BEING AMERICANS WOULD GUARANTEE THEM THE TRUTH. THEY WERE ALL WRONG.
Based on the real-life experiences of Ed Horman. A conservative American businessman travels to Chile to investigate the sudden disappearance of his son after a military takeover. Accompanied by his son’s wife he uncovers a trail of cover-ups that implicate the US State department which supports the dictatorship.",3.9,20K,29K,7.1K,58 FANS,Costa-Gavras,missing-1982
"WHAT DO YOU GET WHEN YOU CROSS A HOPELESSLY STRAIGHT STARVING ACTOR WITH A DYNAMITE RED SEQUINED DRESS? YOU GET AMERICA’S HOTTEST NEW ACTRESS.
When struggling, out of work actor Michael Dorsey secretly adopts a female alter ego – Dorothy Michaels – in order to land a part in a daytime drama, he unwittingly becomes a feminist icon and ends up in a romantic pickle.",3.7,57K,196K,41K,507 FANS,Sydney Pollack,tootsie-1982
"FRANK GALVIN HAS ONE LAST CHANCE TO DO SOMETHING RIGHT.
Frank Galvin is a down-on-his-luck lawyer and reduced to drinking and ambulance chasing, when a former associate reminds him of his obligations in a medical malpractice suit by serving it to Galvin on a silver platter—all parties are willing to settle out of court. Blundering his way through the preliminaries, Galvin suddenly realizes that the case should actually go to court—to punish the guilty, to get a decent settlement for his clients… and …more",4.0,30K,76K,21K,328 FANS,Sidney Lumet,the-verdict-1982
"COME TO LAUGH, COME TO CRY, COME TO CARE, COME TO TERMS.
Aurora, a finicky woman, is in search of true love while her daughter faces marital issues. Together, they help each other deal with problems and find reasons to live a joyful life.",3.8,46K,78K,18K,466 FANS,James L. Brooks,terms-of-endearment-1983
"THE STORY OF EIGHT OLD FRIENDS SEARCHING FOR SOMETHING THEY LOST, AND FINDING THAT ALL THEY NEEDED WAS EACH OTHER.
Seven old college friends gather for a weekend reunion after the funeral of one of their own.",3.5,29K,78K,17K,480 FANS,Lawrence Kasdan,the-big-chill-1983
"WHAT HAPPENS BACKSTAGE IS ALWAYS TRUE DRAMA. AND OFTEN PURE COMEDY.
In a touring Shakespearean theater group, a backstage hand - the dresser, is devoted to the brilliant but tyrannical head of the company. He struggles to support the deteriorating star as the company struggles to carry on during the London blitz. The pathos of his backstage efforts rival the pathos in the story of Lear and the Fool that is being presented on-stage, as the situation comes to a crisis.",3.6,6.4K,4.9K,877,9 FANS,Peter Yates,the-dresser-1983
"HOW THE FUTURE BEGAN.
As the Space Race ensues, seven pilots set off on a path to become the first American astronauts to enter space. However, the road to making history brings forth momentous challenges.",4.0,33K,59K,14K,392 FANS,Philip Kaufman,the-right-stuff-1983
"HIS STRUGGLE FOR FAME WAS OVER. HIS FIGHT FOR RESPECT WAS JUST BEGINNING.
Alchoholic former country singer Mac Sledge makes friends with a young widow and her son. The friendship enables him to find inspiration to resume his career.",3.7,12K,13K,3.1K,91 FANS,Bruce Beresford,tender-mercies-1983
"…EVERYTHING YOU’VE HEARD IS TRUE
Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Salzburger composer Wolfgang Amadeus Mozart.",4.3,174K,688K,230K,22K FANS,Miloš Forman,amadeus-1984
"HERE, ONLY THE SILENT SURVIVE.
New York Times reporter Sydney Schanberg is on assignment covering the Cambodian Civil War, with the help of local interpreter Dith Pran and American photojournalist Al Rockoff. When the U.S. Army pulls out amid escalating violence, Schanberg makes exit arrangements for Pran and his family. Pran, however, tells Schanberg he intends to stay in Cambodia to help cover the unfolding story — a decision he may regret as the Khmer Rouge rebels move in.",3.9,25K,51K,10K,161 FANS,Roland Joffé,the-killing-fields-1984
"DAVID LEAN, THE DIRECTOR OF “DOCTOR ZHIVAGO”, “LAWRENCE OF ARABIA” AND “THE BRIDGE ON THE RIVER KWAI”, INVITES YOU ON . .
Set during the period of growing influence of the Indian independence movement in the British Raj, the story begins with the arrival in India of a British woman, Miss Adela Quested, who is joining her fiancé, a city magistrate named Ronny Heaslop. She and Ronny’s mother, Mrs. Moore, befriend an Indian doctor, Aziz H. Ahmed.",3.6,16K,20K,3.3K,21 FANS,David Lean,a-passage-to-india-1984
"THE STORY OF A WOMAN FIGHTING FOR HER CHILDREN, FOR HER LAND, FOR THE GREATEST DREAM THERE IS… THE FUTURE.
In 1935 rural Texas, recently widowed Edna Spaulding struggles to survive with two small children, a farm to run, and very little money in the bank - not to mention a deadly tornado and the unwelcome presence of the Ku Klux Klan. Edna is aided by her beautician sister, Margaret; a blind boarder, Mr. Will; and a would-be thief, Moze, who decides to teach Edna how to plant and harvest cotton.",3.5,9.4K,11K,2K,16 FANS,Robert Benton,places-in-the-heart-1984
"ALONE, FAR FROM HOME, AND FAR FROM JUSTICE, HE HAS THREE DAYS TO LEARN THE TRUTH ABOUT A MURDER… AND THE TRUTH IS A STORY YOU WON’T FORGET.
In a rural town in Louisiana, a black Master Sergeant is found shot to death just outside the local Army Base. Military lawyer, Captain Davenport—also a black man—is sent from Washington to conduct an investigation. Facing an uncooperative chain of command and fearful black troops, Davenport must battle with deceit and prejudice in order to find out exactly who really did kill the Master Sergeant.",3.6,7.2K,8.7K,1.8K,16 FANS,Norman Jewison,a-soldiers-story-1984
"BASED ON A TRUE STORY.
Tells the life story of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on her 1937 autobiographical novel.",3.4,39K,94K,15K,878 FANS,Sydney Pollack,out-of-africa-1985
"IT’S ABOUT LIFE. IT’S ABOUT LOVE. IT’S ABOUT US.
An epic tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry. After Celie’s abusive father marries her off to the equally debasing ‘Mister’ Albert Johnson, things go from bad to worse, leaving Celie to find companionship anywhere she can. She perseveres, holding on to her dream of one day being reunited with her sister in Africa.",3.9,66K,207K,50K,2.2K FANS,Steven Spielberg,the-color-purple-1985
"ONCE UPON A TIME… IN A TROPICAL ISLAND FAR AWAY, THERE LIVED A STRANGE WOMAN…
The story of two radically different men thrown together in a Latin American prison cell. One is Valentin, a journalist being tortured for his political beliefs. The other is Molina, a gay window-dresser who fills their lonely nights by spinning romantic fantasies drawn from memories of old movies.",3.7,22K,32K,7.6K,191 FANS,Héctor Babenco,kiss-of-the-spider-woman-1985
"HIRED KILLERS BY DAY. DEVOTED LOVERS BY NIGHT. UNTIL THEY FOUND OUT THEIR NEXT ASSIGNMENT WAS EACH OTHER.
Charley Partanna is a hitman who works for the Prizzis, one of the richest crime families in the US. When he sees Irene Walker, it’s love at first sight. But he soon finds that she, too, is a killer for hire. Charley can overlook his suspicions, but he can’t turn off his heart. And the couple must remember that even if they love each other, the Prizzis love only money.",3.3,16K,23K,2.9K,4 FANS,John Huston,prizzis-honor-1985
"A BIG CITY COP. A SMALL COUNTRY BOY. THEY HAVE NOTHING IN COMMON… BUT A MURDER.
While protecting an Amish boy – the sole witness to a brutal murder – and his mother, a detective is forced to seek refuge within their community when his own life comes under threat.",3.7,34K,138K,29K,224 FANS,Peter Weir,witness-1985
"THE FIRST CASUALTY OF WAR IS INNOCENCE.
As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",4.0,105K,451K,108K,2.2K FANS,Oliver Stone,platoon-1986
"LOVE HAS A LANGUAGE ALL OF ITS OWN.
Starting his new job as an instructor at a New England school for the deaf, James Leeds meets Sarah Norman, a young deaf woman who works at the school as a member of the custodial staff. In spite of Sarah’s withdrawn emotional state, a romance slowly develops between the pair.",3.5,14K,20K,3.4K,40 FANS,Randa Haines,children-of-a-lesser-god-1986
"A STORY BETWEEN TWO THANKSGIVINGS.
Between two Thanksgivings, Hannah’s husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",4.0,44K,129K,32K,679 FANS,Woody Allen,hannah-and-her-sisters-1986
"ONE WILL TRUST IN THE POWER OF PRAYER. ONE WILL BELIEVE IN THE MIGHT OF THE SWORD.
When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors.",3.7,24K,72K,14K,465 FANS,Roland Joffé,the-mission-1986
"AN EDWARDIAN ROMANCE
When Lucy Honeychurch and chaperon Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting the Emersons could change Lucy’s life forever but, once back in England, how will her experiences in Tuscany affect her marriage plans?",3.7,44K,107K,28K,1.9K FANS,James Ivory,a-room-with-a-view-1986
"1500 SLAVES. 353,260,000 ROYAL SUBJECTS. WARLORDS. CONCUBINES. AND 2 WIVES. HE WAS THE LONELIEST BOY IN THE WORLD.
A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People’s Republic.",3.9,50K,134K,26K,696 FANS,Bernardo Bertolucci,the-last-emperor-1987
"IT’S THE STORY OF THEIR LIVES.
Basket-case network news producer Jane Craig falls for new reporter Tom Grunnick, a pretty boy who represents the trend towards entertainment news she despises. Aaron Altman, a talented but plain correspondent, carries an unrequited torch for Jane. Sparks fly between the three as the network prepares for big changes, and both the news and Jane must decide between style and substance.",4.0,46K,91K,29K,1.5K FANS,James L. Brooks,broadcast-news-1987
"A LOOK THAT LED TO AN EVENING. A MISTAKE HE’LL REGRET… FOR THE REST OF HIS LIFE.
A married man’s one-night stand comes back to haunt him when that lover begins to stalk him and his family.",3.5,43K,176K,31K,330 FANS,Adrian Lyne,fatal-attraction-1987
"THE EPIC STORY OF A WORLD AT WAR. AND A BOY AT PLAY.
A middle-aged man recalls his childhood growing up in and around London during World War II.",3.7,9.6K,12K,2.5K,36 FANS,John Boorman,hope-and-glory-1987
"LIFE. FAMILY. LOVE.
37-year-old Italian-American widow Loretta Castorini believes she is unlucky in love, and so accepts a marriage proposal from her boyfriend Johnny, even though she doesn’t love him. When she meets his estranged younger brother Ronny, an emotional and passionate man, she finds herself drawn to him. She tries to resist, but Ronny, who blames his brother for the loss of his hand, has no scruples about aggressively pursuing her while Johnny is out of the …more",3.8,93K,309K,101K,7.9K FANS,Norman Jewison,moonstruck-1987
"A JOURNEY THROUGH UNDERSTANDING AND FELLOWSHIP.
When car dealer Charlie Babbitt learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has a savant older brother named Raymond and that his father’s $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father’s money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers’ cross-country trip ends up changing both their lives.",3.9,103K,741K,160K,2.3K FANS,Barry Levinson,rain-man-1988
"After the death of his son, travel writer Macon Leary seems to be sleep walking through life. Macon’s wife is having similar problems. They separate, and Macon meets a strange, outgoing woman who brings him ‘back down to earth’, but his wife soon thinks their marriage is still worth another try.",3.3,11K,16K,2.2K,13 FANS,Lawrence Kasdan,the-accidental-tourist-1988
"LUST. SEDUCTION. REVENGE. THE GAME AS YOU’VE NEVER SEEN IT PLAYED BEFORE.
In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned.",3.8,30K,90K,19K,643 FANS,Stephen Frears,dangerous-liaisons-1988
"1964. WHEN AMERICA WAS AT WAR WITH ITSELF.
Two FBI agents investigating the murder of civil rights workers during the 60s seek to breach the conspiracy of silence in a small Southern town where segregation divides black and white. The younger agent trained in FBI school runs up against the small town ways of his partner, a former sheriff.",3.9,33K,180K,41K,456 FANS,Alan Parker,mississippi-burning-1988
"FOR ANYONE WHO’S EVER WON. FOR ANYONE WHO’S EVER LOST. AND FOR EVERYONE WHO’S STILL IN THERE TRYING.
When a secretary’s idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss’ job.",3.4,27K,99K,19K,329 FANS,Mike Nichols,working-girl-1988
"THE FUNNY, TOUCHING AND TOTALLY IRRESISTIBLE STORY OF A WORKING RELATIONSHIP THAT BECAME A 25-YEAR FRIENDSHIP.
The story of an old Jewish widow named Daisy Werthan and her relationship with her black chauffeur, Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters, in a time when those types of relationships were shunned.",3.3,33K,108K,13K,81 FANS,Bruce Beresford,driving-miss-daisy-1989
"A TRUE STORY OF INNOCENCE LOST AND COURAGE FOUND.
Paralyzed in the Vietnam war, Ron Kovic becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",3.7,35K,124K,23K,117 FANS,Oliver Stone,born-on-the-fourth-of-july-1989
"HE WAS THEIR INSPIRATION. HE MADE THEIR LIVES EXTRAORDINARY.
At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",4.3,502K,3.6M,1.6M,263K FANS,Peter Weir,dead-poets-society-1989
"ALL HIS LIFE, RAY KINSELLA WAS SEARCHING FOR HIS DREAMS. THEN ONE DAY, HIS DREAMS CAME LOOKING FOR HIM.
Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice’s directions don’t stop – even after the spirits of deceased ballplayers turn up to play.",3.6,47K,223K,45K,1.6K FANS,Phil Alden Robinson,field-of-dreams-1989
"A FILM ABOUT LIFE, LAUGHTER, AND THE OCCASIONAL MIRACLE.
No one expects much from Christy Brown, a boy with cerebral palsy born into a working-class Irish family. Though Christy is a spastic quadriplegic and essentially paralyzed, a miraculous event occurs when, at the age of 5, he demonstrates control of his left foot by using chalk to scrawl a word on the floor. With the help of his steely mother — and no shortage of grit and determination — Christy overcomes his infirmity to become a painter, poet and author.",3.9,29K,93K,21K,418 FANS,Jim Sheridan,my-left-foot-1989
"INSIDE EVERYONE IS A FRONTIER WAITING TO BE DISCOVERED.
Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he’s assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",3.9,70K,246K,50K,2.3K FANS,Kevin Costner,dances-with-wolves-1990
"THERE IS NO SUCH THING AS A SIMPLE MIRACLE.
Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to “awaken” the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life’s simple but unutterably sweet pleasures to the introverted doctor.",3.9,38K,231K,61K,1.8K FANS,Penny Marshall,awakenings-1990
"Newlyweds Cathy and Mari spend their honeymoon at a rural vacation house in Baguio. They are less welcomed by the old caretaker who gives them a tour, including a locked room.",,13,25,3,,"Lore Reyes, Peque Gallaga",ghost-1990
"ALL THE POWER ON EARTH CAN’T CHANGE DESTINY.
In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",3.5,96K,609K,119K,1.1K FANS,Francis Ford Coppola,the-godfather-part-iii-1990
"THREE DECADES OF LIFE IN THE MAFIA.
The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",4.5,445K,2.5M,970K,92K FANS,Martin Scorsese,goodfellas-1990
"TO ENTER THE MIND OF A KILLER SHE MUST CHALLENGE THE MIND OF A MADMAN.
Clarice Starling is a top student at the FBI’s training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",4.3,511K,3.6M,1.4M,74K FANS,Jonathan Demme,the-silence-of-the-lambs-1991
"THE MOST BEAUTIFUL LOVE STORY EVER TOLD.
Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who’s been turned into a mysterious beast. With the help of the castle’s enchanted staff, Belle soon learns the most important lesson of all – that true beauty comes from within.",3.9,171K,1.7M,337K,8.9K FANS,"Gary Trousdale, Kirk Wise",beauty-and-the-beast-1991
"GLAMOUR WAS THE DISGUISE.
New York gangster Ben ‘Bugsy’ Siegel takes a brief business trip to Los Angeles. A sharp-dressing womanizer with a foul temper, Siegel doesn’t hesitate to kill or maim anyone crossing him. In L.A. the life, the movies, and most of all strong-willed Virginia Hill detain him while his family wait back home. Then a trip to a run-down gambling joint at a spot in the desert known as Las Vegas gives him his big idea.",3.3,12K,26K,3.4K,20 FANS,Barry Levinson,bugsy-1991
"THE STORY THAT WON’T GO AWAY.
Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.",4.1,63K,194K,48K,1.2K FANS,Oliver Stone,jfk-1991
"A STORY ABOUT THE MEMORIES THAT HAUNT US, AND THE TRUTH THAT SETS US FREE.
A troubled Southern man talks to his suicidal sister’s psychiatrist about their family history and falls in love with her (and New York City) in the process.",3.4,12K,21K,3.5K,82 FANS,Barbra Streisand,the-prince-of-tides-1991
"SOME LEGENDS WILL NEVER BE FORGOTTEN. SOME WRONGS CAN NEVER BE FORGIVEN.
William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",4.2,132K,386K,115K,3.2K FANS,Clint Eastwood,unforgiven-1992
"Roy Brush has aspirations to be a great footballer and this seems likely when he scores for England in the European Cup Final. To add to this he becomes a national hero, having seemingly saved a young lad from drowning. But Roy has a secret - he is gay - and the editor of the scurrilous ‘Scum’ tabloid is making it his business to out him. However, with the help of his manager, Roy can triumph at an inspirational climactic football match, where his tears …more",,38,55,10,,"Keith Allen, Peter Richardson",the-crying-game-1992
"IN THE HEART OF THE NATION’S CAPITAL, IN A COURTHOUSE OF THE U.S. GOVERNMENT, ONE MAN WILL STOP AT NOTHING TO KEEP HIS HONOR, AND ONE WILL STOP AT NOTHING TO FIND THE TRUTH.
When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",4.0,72K,396K,103K,3.6K FANS,Rob Reiner,a-few-good-men-1992
"BASED ON THE NOVEL BY E.M. FORSTER
A saga of class relations and changing times in an Edwardian England on the brink of modernity, the film centers on liberal Margaret Schlegel, who, along with her sister Helen, becomes involved with two couples: wealthy, conservative industrialist Henry Wilcox and his wife Ruth, and the downwardly mobile working-class Leonard Bast and his mistress Jackie.",3.7,23K,45K,8.8K,192 FANS,James Ivory,howards-end-1992
"COL. FRANK SLADE HAS A VERY SPECIAL PLAN FOR THE WEEKEND. IT INVOLVES TRAVEL, WOMEN, GOOD FOOD, FINE WINE, THE TANGO, CHAUFFEURED LIMOUSINES AND A LOADED FORTY-FIVE. AND HE’S BRINGING CHARLIE ALONG FOR THE RIDE.
Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",3.9,71K,491K,153K,13K FANS,Martin Brest,scent-of-a-woman-1992
"WHOEVER SAVES ONE LIFE, SAVES THE WORLD ENTIRE.
The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.",4.5,314K,1.9M,589K,27K FANS,Steven Spielberg,schindlers-list-1993
"A MURDERED WIFE. A ONE-ARMED MAN. AN OBSESSED DETECTIVE. THE CHASE BEGINS.
Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name.",3.9,68K,404K,99K,1.8K FANS,Andrew Davis,the-fugitive-1993
"IN THE NAME OF TRUTH… IN THE NAME OF JUSTICE… IN THE NAME OF LOVE.
A small-time Belfast thief, Gerry Conlon, is wrongly convicted of an IRA bombing in London, along with his father and friends, and spends 15 years in prison fighting to prove his innocence.",4.2,37K,139K,40K,2.4K FANS,Jim Sheridan,in-the-name-of-the-father-1993
"When an arranged marriage brings Ada and her spirited daughter to the wilderness of nineteenth-century New Zealand, she finds herself locked in a battle of wills with both her controlling husband and a rugged frontiersman to whom she develops a forbidden attraction.",3.9,76K,184K,43K,2K FANS,Jane Campion,the-piano-1993
"DIAMOND IN THE ROUGH.
A rule-bound head butler’s world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master’s cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.",4.0,28K,101K,24K,639 FANS,James Ivory,the-remains-of-the-day-1993
"THE WORLD WILL NEVER BE THE SAME ONCE YOU’VE SEEN IT THROUGH THE EYES OF FORREST GUMP.
A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",4.2,367K,5M,1.7M,90K FANS,Robert Zemeckis,forrest-gump-1994
"FIVE GOOD REASONS TO STAY SINGLE.
Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",3.4,70K,417K,78K,1.8K FANS,Mike Newell,four-weddings-and-a-funeral-1994
"FROM THE CREATOR OF ‘TRUE ROMANCE’ & ‘RESERVOIR DOGS’
A burger-loving hit man, his philosophical partner, a drug-addled gangster’s moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",4.3,602K,5.1M,2.2M,115K FANS,Quentin Tarantino,pulp-fiction-1994
"FIFTY MILLION PEOPLE WATCHED BUT NO ONE SAW A THING.
Herbert Stempel’s transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, ‘Twenty-One.’ However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrations and call out the show as rigged. Lawyer Richard Goodwin steps in and attempts to uncover the orchestrated deception behind the scenes.",3.8,22K,85K,18K,175 FANS,Robert Redford,quiz-show-1994
"FEAR CAN HOLD YOU PRISONER. HOPE CAN SET YOU FREE.
Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates – including an older prisoner named Red – for his integrity and unquenchable sense of hope.",4.6,391K,3.2M,1.3M,121K FANS,Frank Darabont,the-shawshank-redemption-1994
"EVERY MAN DIES, NOT EVERY MAN REALLY LIVES.
Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord’s soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",3.9,116K,774K,158K,6.9K FANS,Mel Gibson,braveheart-1995
"“HOUSTON, WE HAVE A PROBLEM.”
The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",3.8,63K,448K,85K,1.5K FANS,Ron Howard,apollo-13-1995
